JURIS NAME	FACILITY NAME	SEGMENT FROM	SEGMENT TO	DIR	WEEKDAY TRAFFIC VOLUMES																		2012 SPEED AND CONGESTION DATA											
					2007			2008			2009			2010			2011			2012			AM PEAK HOUR						PM PEAK HOUR					
HAM	MERCURY BLVD	BIG BETHEL RD	ABERDEEN RD		"62,039"	5/30	C				"50,124"	12/8	C				"49,887"	10/4	C				38	41	1.17	1.09	LOW	LOW	41	41	1.08	1.10	LOW	LOW
HAM	MERCURY BLVD	ABERDEEN RD	POWER PLANT PKWY		"57,746"	4/25 - 4/26	V																35	38	1.08	1.07	LOW	LOW	32	37	1.18	1.10	LOW	LOW
HAM	MERCURY BLVD	POWER PLANT PKWY	I-64		"64,409"	7/3	C				"62,071"	11/24	C				"61,155"	10/4	C				41	29	1.05	1.16	LOW	LOW	39	31	1.10	1.09	LOW	LOW
HAM	MERCURY BLVD	I-64	COLISEUM DR		"52,101"	7/5	C				"55,452"	11/24	C				"54,964"	10/6	C				31	36	1.04	1.03	LOW	LOW	29	34	1.10	1.12	LOW	LOW
HAM	MERCURY BLVD	COLISEUM DR	CUNNINGHAM DR		"44,961"	5/8	V				"45,396"	11/24	C				"47,610"	10/4	C				31	36	1.04	1.03	LOW	LOW	29	34	1.10	1.12	LOW	LOW
HAM	MERCURY BLVD	CUNNINGHAM DR	ARMISTEAD AVE		"50,166"		C				"54,209"	12/1	C				"51,481"	10/5	C				31	36	1.04	1.03	LOW	LOW	29	34	1.10	1.12	LOW	LOW
HAM	MERCURY BLVD	ARMISTEAD AVE	LASALLE AVE		"53,436"	6/28	C				"54,611"	12/1	C				"51,378"	10/25	C				41	38	1.13	1.20	LOW	LOW	43	37	1.09	1.23	LOW	LOW
HAM	MERCURY BLVD	LASALLE AVE	KING ST		"61,408"	4/24 - 4/25	V				"57,242"	12/1	C				"55,653"	10/6	C				40	43	1.15	1.08	LOW	LOW	40	42	1.16	1.11	LOW	LOW
HAM	MERCURY BLVD	KING ST	FOX HILL RD								"57,242"	12/1	C				"55,653"	10/6	C				41	39	1.05	1.13	LOW	LOW	40	38	1.08	1.15	LOW	LOW
HAM	MERCURY BLVD	FOX HILL RD	ANDREWS BLVD		"33,726"	3/28	C				"29,743"	12/1	C				"28,112"	10/25	C				41	39	1.05	1.13	LOW	LOW	40	38	1.08	1.15	LOW	LOW
HAM	MERCURY BLVD	ANDREWS BLVD	PEMBROKE AVE		"19,716"	4/25 - 4/26	V							"20,032"	4/28 - 4/29	V							39	36	1.15	1.19	LOW	LOW	39	36	1.17	1.20	LOW	LOW
HAM	MERCURY BLVD	PEMBROKE AVE	WOODLAND RD		"9,856"	4/10	C				"8,563"	1/6	C				"6,462"	10/18	C				32	31	1.22	1.14	LOW	LOW	32	31	1.22	1.15	LOW	LOW
HAM	MERCURY BLVD	WOODLAND RD	MALLORY ST		"9,856"	4/10	C				"8,563"	1/6	C				"6,462"	10/18	C				32	33	1.16	0.96	LOW	LOW	29	34	1.30	0.94	MOD	LOW
HAM	MERCURY BLVD	MALLORY ST	MELLEN ST/INGALLS RD		"4,444"	4/12	C				"4,488"	1/6	C				916	10/18	C				32	33	1.16	0.96	LOW	LOW	29	34	1.30	0.94	MOD	LOW
HAM	OLD BUCKROE RD	PEMBROKE AVE	FOX HILL RD		"6,679"	3/1	C				"6,231"	1/8	C				"6,278"	4/12	C				30	29	1.11	1.15	LOW	LOW	30	29	1.12	1.14	LOW	LOW
HAM	PEMBROKE AVE	NEWPORT NEWS CL	ABERDEEN RD		"7,767"	8/29 - 8/30	V							"7,425"	8/24 - 8/26	V							34	34	1.13	1.16	LOW	LOW	34	34	1.15	1.16	LOW	LOW
HAM	PEMBROKE AVE	ABERDEEN RD	POWHATAN PKWY		"10,219"	2/21	C				"10,456"	3/10	C				"10,697"	2/15	C				31	30	1.21	1.20	LOW	LOW	31	31	1.22	1.16	LOW	LOW
HAM	PEMBROKE AVE	POWHATAN PKWY	SETTLERS LANDING RD		"12,191"	2/27	C				"12,600"	3/10	C				"11,377"	2/15	C				38	38	1.13	1.13	LOW	LOW	38	36	1.14	1.18	LOW	LOW
HAM	PEMBROKE AVE	SETTLERS LANDING RD	LASALLE AVE		"13,828"	3/1	C				"12,224"	3/10	C				"11,380"	2/17	C				20	26	1.44	1.07	SEV	LOW	27	29	1.06	0.96	LOW	LOW
HAM	PEMBROKE AVE	LASALLE AVE	ARMISTEAD AVE		"10,973"	3/28	C				"10,168"	3/10	C				"9,049"	2/15	C				27	27	1.38	1.32	MOD	MOD	30	29	1.26	1.22	MOD	LOW
HAM	PEMBROKE AVE	ARMISTEAD AVE	KING ST		"9,516"	2/7	C				"8,925"	3/24	C				"9,398"	4/19	C				26	24	1.31	1.23	MOD	LOW	28	26	1.21	1.15	LOW	LOW
HAM	PEMBROKE AVE	KING ST	EATON ST		"9,516"	2/7	C				"8,925"	3/24	C				"9,398"	4/19	C				26	24	1.31	1.23	MOD	LOW	28	26	1.21	1.15	LOW	LOW
HAM	PEMBROKE AVE	EATON ST	BARRON ST		"9,516"	2/7	C				"8,925"	3/24	C				"9,398"	4/19	C				29	31	1.18	1.09	LOW	LOW	29	31	1.17	1.09	LOW	LOW
HAM	PEMBROKE AVE	BARRON ST	MERCURY BLVD		"9,516"	2/7	C				"8,925"	3/24	C				"9,398"	4/19	C				29	31	1.18	1.09	LOW	LOW	29	31	1.17	1.09	LOW	LOW
HAM	PEMBROKE AVE	MERCURY BLVD	WOODLAND RD		"13,491"	1/25	C				"11,488"	3/24	C				"13,133"	4/19	C				29	28	1.24	1.20	LOW	LOW	30	26	1.20	1.30	LOW	MOD
HAM	PEMBROKE AVE	WOODLAND RD	OLD BUCKROE RD		"13,468"	3/1	C				"13,081"	3/24	C				"15,710"	4/19	C				29	28	1.24	1.20	LOW	LOW	30	26	1.20	1.30	LOW	MOD
HAM	PEMBROKE AVE	OLD BUCKROE RD	MALLORY ST		"3,877"	5/8 - 5/9	V				"2,497"	3/24	C				"3,031"	3/8	C				29	28	1.24	1.20	LOW	LOW	30	26	1.20	1.30	LOW	MOD
HAM	POWER PLANT PKWY	I-664	BRIARFIELD RD		"14,723"	3/28 - 5/16	V	"14,920"	5/19	C				"13,263"	11/2	C				"13,780"	3/8	C	38	37	1.17	1.12	LOW	LOW	39	37	1.14	1.09	LOW	LOW
HAM	POWER PLANT PKWY	BRIARFIELD RD	PINE CHAPEL RD		"23,510"	5/3	C				"22,408"	4/2	C				"21,302"	9/29	C				-	-	-	-	LOW		-	-	-	-	LOW	
HAM	POWER PLANT PKWY	PINE CHAPEL RD	MERCURY BLVD		"17,214"	4/24 - 6/13	V				"15,918"	11/24	C				"17,234"	3/1	C				-	-	-	-	LOW		-	-	-	-	LOW	
HAM	POWHATAN PKWY	KECOUGHTAN RD	PEMBROKE AVE		"8,420"	2/8	C							"10,310"	3/24 - 3/25	C	"8,460"	2/17	C				24	24	1.22	1.20	LOW	LOW	23	24	1.24	1.23	LOW	LOW
HAM	POWHATAN PKWY	PEMBROKE AVE	I-664		"23,864"	3/28 - 3/29	V	"23,392"	7/31	C				"20,748"	11/2	C				"20,520"	10/11	C	24	18	1.20	1.50	LOW	SEV	26	18	1.11	1.45	LOW	SEV
HAM	QUEEN ST	BRIARFIELD RD	MICHIGAN DR		"12,731"	3/27	C				"11,606"	3/31	C				"10,643"	10/4	C				31	30	1.19	1.27	LOW	MOD	32	30	1.15	1.25	LOW	MOD
HAM	QUEEN ST	MICHIGAN DR	PEMBROKE AVE		"12,731"	3/27	C				"11,606"	3/31	C				"10,643"	10/4	C				31	30	1.19	1.27	LOW	MOD	32	30	1.15	1.25	LOW	MOD
HAM	RIP RAP RD	ARMISTEAD AVE	I-64											"8,557"	6/9 - 6/10	V							-	-	-	-	SEV		-	-	-	-	MOD	
HAM	RIP RAP RD	I-64	KING ST		"11,449"	2/13	C							"12,914"	5/12 - 5/13	V	"12,481"	4/19	C				-	-	-	-	MOD		-	-	-	-	SEV	
HAM	ROANOKE AVE	NEWPORT NEWS CL	MERCURY BLVD		"4,311"	avg	C	"4,417"	avg	C	"4,320"		C										25	25	1.14	1.10	LOW	LOW	23	27	1.26	1.01	MOD	LOW
HAM	SAUNDERS RD	NEWPORT NEWS CL	BIG BETHEL RD		"9,812"	2/15	C				"10,479"	12/22	C				"9,613"	3/22	C				-	-	-	-	LOW		-	-	-	-	LOW	
HAM	SETTLERS LANDING RD	PEMBROKE AVE	LASALLE AVE					"10,724"	8/19	C				"8,752"	11/17	C				"9,932"	10/25	C	20	21	1.27	0.97	MOD	LOW	24	20	1.03	1.02	LOW	LOW
HAM	SETTLERS LANDING RD	LASALLE AVE	KECOUGHTAN RD																				30	32	1.25	1.12	MOD	LOW	33	31	1.13	1.16	LOW	LOW
HAM	SETTLERS LANDING RD	KECOUGHTAN RD	ARMISTEAD AVE		"17,400"	2/13	C				"16,434"	12/7	C				"14,781"	3/15	C				22	26	1.21	1.09	LOW	LOW	23	25	1.14	1.13	LOW	LOW
HAM	SETTLERS LANDING RD	ARMISTEAD AVE	EATON ST		"15,149"	1/3	C				"14,656"	12/1	C				"13,051"	3/15	C				24	22	1.10	1.17	LOW	LOW	23	23	1.11	1.12	LOW	LOW
HAM	SETTLERS LANDING RD	EATON ST	TYLER ST		"19,404"	2/13	C				"18,285"	1/22	C				"15,887"	3/15	C				31	31	1.14	1.08	LOW	LOW	30	30	1.17	1.11	LOW	LOW
HAM	SETTLERS LANDING RD	TYLER ST	I-64																				31	31	1.14	1.08	LOW	LOW	30	30	1.17	1.11	LOW	LOW
HAM	TODDS LA	NEWPORT NEWS CL	BIG BETHEL RD		"18,866"	4/10	C				"17,063"	12/10	C				"17,339"	10/6	C				35	33	1.08	1.11	LOW	LOW	33	33	1.14	1.13	LOW	LOW
HAM	TODDS LA	BIG BETHEL RD	ABERDEEN RD		"19,968"	3/28 - 3/29	V							"18,041"	8/24 - 8/26	V							33	31	1.19	1.24	LOW	LOW	33	31	1.22	1.24	LOW	LOW
HAM	TODDS LA	ABERDEEN RD	CUNNINGHAM DR		"23,589"	6/5 - 6/6	V							"21,978"	11/16 - 11/17	V							34	34	1.15	1.07	LOW	LOW	32	32	1.22	1.14	LOW	LOW
HAM	TODDS LA	CUNNINGHAM DR	MERCURY BLVD		"16,082"	5/3	C				"14,800"	12/8	C				"15,256"	6/7	C				-	-	-	-	LOW		-	-	-	-	LOW	
HAM	WOODLAND RD	I-64	COUNTY ST		"21,856"	2/14	C				"24,063"	1/22	C				"26,615"	3/15	C				-	-	-	-	SEV		-	-	-	-	MOD	
HAM	WOODLAND RD	COUNTY ST	MERCURY BLVD		"18,571"	2/14	C				"18,132"	1/22	C				"17,869"	2/8	C				-	-	-	-	MOD		-	-	-	-	MOD	
HAM	WOODLAND RD	MERCURY BLVD	PEMBROKE AVE		"13,785"	5/22 - 5/23	V							"13,520"	4/7 - 4/8	V							30	31	1.26	1.19	MOD	LOW	30	30	1.27	1.22	MOD	LOW
HAM	WOODLAND RD	PEMBROKE AVE	FOX HILL RD		"10,432"	4/26	C				"10,845"	6/11	C				"9,669"	9/22	C				30	32	1.26	1.13	MOD	LOW	31	32	1.22	1.13	LOW	LOW
HAM	WYTHE CREEK RD	COMMANDER SHEPPARD BLVD	POQUOSON CL		"17,505"	3/28 - 3/29	V	"17,880"	4/17	C				"16,688"	4/8	C				"15,779"	1/19	C	38	36	1.15	1.14	LOW	LOW	35	37	1.25	1.10	MOD	LOW
IW/ST	BATTERY PARK RD	S CHURCH ST	NIKE PARK RD					"11,003"	2/27 - 6/12	V							"9,536"	2/9 - 2/10	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	BATTERY PARK RD	NIKE PARK RD	COUNTRY WAY					"4,106"	3/12 - 3/13	V							"3,795"	2/9 - 2/10	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	BENNS CHURCH BLVD	SUFFOLK CL	RIDDICK RD					"10,894"	11/13	V							"11,182"	2/15 - 2/16	V				49	49	1.13	1.12	LOW	LOW	49	49	1.14	1.12	LOW	LOW
IW	BENNS CHURCH BLVD	RIDDICK RD	ROUTE 10 & 32 (BREWERS NECK BLVD)					"10,894"	11/13	V							"11,182"	2/15 - 2/16	V				49	49	1.13	1.12	LOW	LOW	49	49	1.14	1.12	LOW	LOW
IW	BENNS CHURCH BLVD	ROUTE 10 & 32 (BREWERS NECK BLVD)	ECL SMITHFIELD (RTE 644)					"24,481"	11/13	V							"24,822"	2/15 - 2/16	V				44	40	1.09	1.14	LOW	LOW	41	39	1.16	1.17	LOW	LOW
IW/ST	BENNS CHURCH BLVD	ECL SMITHFIELD (RTE 644)	CHURCH ST S					"28,868"	10/29 - 10/30	V							"28,016"	2/16 - 2/17	V				40	37	1.16	1.25	LOW	MOD	34	33	1.39	1.44	MOD	SEV
IW	BREWERS NECK BLVD	ROUTE 10 & 32 (BENN'S CHURCH)	RTE 670					"24,573"	3/13 - 6/12	V							"24,015"	2/15 - 2/16	V				50	50	1.05	1.05	LOW	LOW	50	47	1.05	1.13	LOW	LOW
IW	BREWERS NECK BLVD	RTE 670	ROUTE 17					"24,573"	3/13 - 6/12	V							"24,015"	2/15 - 2/16	V				50	50	1.05	1.05	LOW	LOW	50	47	1.05	1.13	LOW	LOW
IW	BUCKHORN DR	SUFFOLK CL	SUNSET DR (RTE 609)					538	3/4 - 3/6	V							472	2/1 - 2/2	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	BUCKHORN DR	SUNSET DR (RTE 609)	SCL WINDSOR					556	3/4 - 3/6	V							522	2/1 - 2/2	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	BUS RTE 10	NCL SMITHFIELD	JENKINS LANE					"4,621"	3/11 - 3/13	V							"5,696"	2/9 - 2/10	V				-	-	-	-	LOW		-	-	-	-	MOD	
IW	BUS RTE 10	JENKINS LANE	RT 10 BYPASS					"1,816"	3/11 - 3/13	V							"1,440"	2/9 - 2/10	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	BUS RTE 58/BUS RTE 258	FRANKLIN CL	JAMESTOWN LN (RTE 691)					"8,358"	3/5 - 3/6	V							"6,785"	2/1 - 2/2	V				32	33	1.11	1.15	LOW	LOW	34	33	1.05	1.17	LOW	LOW
IW	BUS RTE 58/BUS RTE 258	JAMESTOWN LN (RTE 691)	ROUTE 258					"8,358"	3/5 - 3/6	V							"6,785"	2/1 - 2/2	V				32	33	1.11	1.15	LOW	LOW	34	33	1.05	1.17	LOW	LOW
IW	BUS RTE 58	ROUTE 258	SUFFOLK CL					"3,035"	3/5 - 3/6	V							"2,803"	2/1 - 2/2	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	CARROLLTON BLVD	SUFFOLK CL	WEST END CHUCKATUCK BRIDGE					"15,213"	3/12 - 3/13	V							"15,139"	2/16 - 2/17	V				48	49	1.11	1.07	LOW	LOW	48	48	1.10	1.08	LOW	LOW
IW	CARROLLTON BLVD	WEST END CHUCKATUCK BRIDGE	ROUTE 258					"15,213"	3/12 - 3/13	V							"15,139"	2/16 - 2/17	V				48	49	1.11	1.07	LOW	LOW	48	48	1.10	1.08	LOW	LOW
IW	CARROLLTON BLVD	ROUTE 258	SMITH'S NECK RD		"30,162"	Wkdy average	V	"29,539"	Wkdy average	V	"29,790"	Wkdy average	V	"29,682"	Wkdy average	V	"29,792"	Wkdy average	V	"29,565"	Wkdy average	V	52	53	1.03	1.04	LOW	LOW	52	49	1.04	1.14	LOW	LOW
IW	CARROLLTON BLVD/JAMES RIVER BR	SMITH'S NECK RD	NEWPORT NEWS CL		"30,162"	Wkdy average	V	"29,539"	Wkdy average	V	"29,790"	Wkdy average	V	"29,682"	Wkdy average	V	"29,792"	Wkdy average	V	"29,565"	Wkdy average	V	52	53	1.03	1.04	LOW	LOW	52	49	1.04	1.14	LOW	LOW
IW/ST	CHURCH ST S	RTE 10 BYPASS	BATTERY PARK RD					"15,705"	3/5 - 3/6	V							"14,191"	2/16 - 2/17	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW/ST	CHURCH ST S	BATTERY PARK RD	CYPRESS CREEK BRIDGE					"14,240"	4/1 - 4/2	V							"10,771"	2/16 - 3/17	V				-	-	-	-	LOW		-	-	-	-	MOD	
IW/ST	CHURCH ST S	CYPRESS CREEK BRIDGE	MAIN ST					"14,310"	3/5 - 3/6	V													-	-	-	-	MOD		-	-	-	-	SEV	
IW/ST	CHURCH ST N	MAIN ST	SMITHFIELD CL					"8,375"	3/12 - 3/13	V							"6,501"	2/9 - 3/17	V				-	-	-	-	MOD		-	-	-	-	MOD	
IW/WIND	COURT ST	SCL WINDSOR/BUCKHORN DR	ROUTE 460					876	3/4 - 3/6	V							798	2/2 - 2/3	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW/ST	MAIN ST	ROUTE 10 BYPASS	CHURCH ST					"4,972"	3/5 - 3/6	V							"4,146"	2/16 - 2/17	V				-	-	-	-	LOW		-	-	-	-	MOD	
IW	NIKE PARK RD	BATTERY PARK RD	TITUS CREEK DR					"9,492"	3/4 - 3/5	V							"8,899"	2/9 - 2/10	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	RESCUE RD	NEWPORT ST (RTE 1002)	SMITH'S NECK RD					966	3/4 - 3/5	V							929	2/8 - 2/9	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	ROUTE 10 (OLD STAGE HWY)	BUS RTE 10	IW/SURRY CL					"7,244"	3/11 - 3/13	V							"7,033"	2/16 - 2/17	V				49	49	1.12	1.11	LOW	LOW	49	50	1.11	1.10	LOW	LOW
IW/ST	ROUTE 10 BYPASS	CHURCH ST S	FAIRWAY DR					"17,861"	3/12 - 3/13	V							"19,239"	2/16 - 2/17	V				49	49	1.08	1.04	LOW	LOW	43	48	1.20	1.06	LOW	LOW
IW/ST	ROUTE 10 BYPASS	FAIRWAY DR	MAIN ST					"17,861"	3/12 - 3/13	V							"19,239"	2/16 - 2/17	V				49	49	1.08	1.04	LOW	LOW	43	48	1.20	1.06	LOW	LOW
IW/ST	ROUTE 10 BYPASS	MAIN ST	NCL SMITHFIELD					"10,707"	3/11 - 3/13	V							"9,757"	2/16 - 2/17	V				49	48	1.13	1.06	LOW	LOW	49	48	1.12	1.08	LOW	LOW
IW	ROUTE 10 BYPASS	NCL SMITHFIELD	BUS RTE 10					"7,152"	3/11 - 3/13	V							"7,532"	3/15 - 3/17	V				49	48	1.13	1.06	LOW	LOW	49	48	1.12	1.08	LOW	LOW
IW	ROUTE 258	SUFFOLK CL	UNION CAMP DR (RTE 656)					"3,748"	3/5 - 3/6	V							"1,457"	2/1 - 2/2	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	ROUTE 258	UNION CAMP DR (RTE 656)	CARRSVILLE HWY (BUS RTE 58)					"1,047"	3/5 - 3/6	V							659	2/23 - 2/24	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	ROUTE 258	CARRSVILLE HWY (BUS RTE 58)	BURDETTE RD (W RTE 619)					"3,935"	3/11 - 3/13	V							"3,074"	2/2 - 2/3	V				52	52	1.05	1.04	LOW	LOW	52	51	1.05	1.05	LOW	LOW
IW	ROUTE 258	BURDETTE RD (W RTE 619)	RIVER RUN TRAIL (W RTE 614)					"3,935"	3/11 - 3/13	V							"3,074"	2/2 - 2/3	V				52	52	1.05	1.04	LOW	LOW	52	51	1.05	1.05	LOW	LOW
IW	ROUTE 258	RIVER RUN TRAIL (W RTE 614)	BLACKWATER RD (RTE 603)					"5,460"	3/11 - 3/13	V							"5,174"	2/23 - 2/24	V				52	52	1.05	1.04	LOW	LOW	52	51	1.05	1.05	LOW	LOW
IW	ROUTE 258	BLACKWATER RD (RTE 603)	WCL WINDSOR					"5,359"	3/11 - 3/13	V							"4,814"	2/2 - 2/3	V				52	52	1.05	1.04	LOW	LOW	52	51	1.05	1.05	LOW	LOW
IW/WIND	ROUTE 258	WCL WINDSOR	ROUTE 460					"5,359"	3/11 - 3/13	V							"4,814"	2/2 - 2/3	V				52	52	1.05	1.04	LOW	LOW	52	51	1.05	1.05	LOW	LOW
IW/WIND	ROUTE 258	ROUTE 460	ECL WINDSOR					"5,980"	3/11 - 3/13	V							"5,371"	2/2 - 2/3	V				53	52	1.06	1.03	LOW	LOW	53	52	1.05	1.05	LOW	LOW
IW	ROUTE 258	ECL WINDSOR	COURT ST NORTH (RTE 610)					"5,980"	3/11 - 3/13	V							"5,371"	2/2 - 2/3	V				53	52	1.06	1.03	LOW	LOW	53	52	1.05	1.05	LOW	LOW
IW	ROUTE 258	COURT ST NORTH (RTE 610)	IRON MINE SPRINGS RD (RTE 605)					"4,844"	3/11 - 3/13	V							"4,420"	2/2 - 2/3	V				53	52	1.06	1.03	LOW	LOW	53	52	1.05	1.05	LOW	LOW
IW	ROUTE 258	IRON MINE SPRINGS RD (RTE 605)	CENTRAL HILL RD (W RTE 637)					"4,844"	3/11 - 3/13	V							"4,420"	2/2 - 2/3	V				53	52	1.06	1.03	LOW	LOW	53	52	1.05	1.05	LOW	LOW
IW	ROUTE 258	CENTRAL HILL RD (W RTE 637)	SCOTTS FACTORY RD (RTE 620)					"5,472"	3/5 - 3/6	V							"5,106"	2/2 - 2/3	V				51	51	1.03	1.03	LOW	LOW	52	52	1.02	1.02	LOW	LOW
IW	ROUTE 258	SCOTTS FACTORY RD (RTE 620)	WCL SMITHFIELD					"5,472"	3/5 - 3/6	V							"9,428"	2/2 - 2/3	V				40	39	1.02	1.10	LOW	LOW	40	39	1.03	1.10	LOW	LOW
IW/ST	ROUTE 258/N MAIN ST	WCL SMITHFIELD	RTE 10 BYPASS					"13,737"	12/3 - 12/4	V							"12,800"	2/2 - 2/3	V				40	39	1.02	1.10	LOW	LOW	40	39	1.03	1.10	LOW	LOW
IW	ROUTE 460	SOUTHAMPTON CL	FIRETOWER RD (RTE 644)					"9,697"	4/2 - 4/3	V							"9,861"	2/23 - 3/17	V				55	56	1.01	1.02	LOW	LOW	55	57	1.02	1.02	LOW	LOW
IW	ROUTE 460	FIRETOWER RD (RTE 644)	WCL WINDSOR					"9,697"	4/2 - 4/3	V							"9,861"	2/23 - 3/17	V				55	56	1.01	1.02	LOW	LOW	55	57	1.02	1.02	LOW	LOW
IW/WIND	ROUTE 460	WCL WINDSOR	ROUTE 258					"9,697"	4/2 - 4/3	V							"9,861"	2/23 - 3/17	V				55	56	1.01	1.02	LOW	LOW	55	57	1.02	1.02	LOW	LOW
IW/WIND	ROUTE 460	ROUTE 258	COURT ST (RTE 610)					"13,942"	3/10 - 3/13	V							"14,054"	2/23 - 2/24	V				31	33	1.15	1.08	LOW	LOW	30	32	1.16	1.13	LOW	LOW
IW	ROUTE 460	COURT ST (RTE 610)	ECL WINDSOR					"13,236"	10/29 - 10/30	V							"15,315"	2/23 - 2/24	V				52	51	1.01	1.02	LOW	LOW	52	50	1.01	1.04	LOW	LOW
IW	ROUTE 460	ECL WINDSOR	SUFFOLK CL					"13,236"	10/29 - 10/30	V							"15,315"	2/23 - 2/24	V				52	51	1.01	1.02	LOW	LOW	52	50	1.01	1.04	LOW	LOW
IW	SMITH'S NECK RD	CARROLLTON BLVD	REYNOLDS DR					"11,894"	3/4 - 6/12	V							"10,658"	2/9 - 2/10	V				-	-	-	-	SEV		-	-	-	-	SEV	
IW	SMITH'S NECK RD	REYNOLDS DR	TITUS CREEK DR					"8,757"	3/4 - 3/5	V							"8,162"	2/9 - 2/10	V				-	-	-	-	SEV		-	-	-	-	MOD	
IW	SMITH'S NECK RD	TITUS CREEK DR	RESCUE RD					"1,688"	3/4 - 3/5	V							"1,574"	2/9 - 2/10	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	TITUS CREEK DR	SMITH'S NECK RD	NIKE PARK RD					"6,941"	3/4 - 3/5	V							"6,449"	2/9 - 2/10	V				-	-	-	-	LOW		-	-	-	-	LOW	
IW	TODD AVE/WARWICK ST	COUNTRY WAY	NEWPORT ST (RTE 1002)					"1,117"	3/4 - 3/5	V							"1,035"	2/8 - 2/9	V				-	-	-	-	LOW		-	-	-	-	LOW	
JCC	BARHAMSVILLE RD	I-64	ROUTE 60		"9,237"		C							"9,423"	2/16 - 3/18	V							46	48	1.03	1.02	LOW	LOW	46	47	1.04	1.04	LOW	LOW
JCC	CENTERVILLE RD	JOHN TYLER HWY	MONTICELLO AVE		"3,462"		C																-	-	-	-	LOW		-	-	-	-	LOW	
JCC	CENTERVILLE RD	MONTICELLO AVE	NEWS RD		"4,158"		C							"4,248"	3/2 - 3/17	V							-	-	-	-	LOW		-	-	-	-	LOW	
JCC	CENTERVILLE RD	NEWS RD	LONGHILL RD		"6,441"		C							"7,414"	3/2 - 3/17	V							-	-	-	-	LOW		-	-	-	-	LOW	
JCC	CENTERVILLE RD	LONGHILL RD	RICHMOND RD		"10,174"		C							"9,095"	3/2 - 3/17	V							-	-	-	-	LOW		-	-	-	-	LOW	
JCC	COLONIAL NATL HIST PKWY	JAMESTOWN/RTE 359	WILLIAMSBURG CL/RTE 199		"2,118"	10/10 - 10/11	V																-	-	-	-	LOW		-	-	-	-	LOW	
JCC	CROAKER RD	ROUTE 60	MAXTON LN (RTE 760)		"9,275"		C							"8,364"	2/23 - 2/24	V							-	-	-	-	LOW		-	-	-	-	MOD	
JCC	CROAKER RD	MAXTON LN (RTE 760)	I-64		"9,260"		C							"8,286"	2/23 - 2/24	V							-	-	-	-	LOW		-	-	-	-	LOW	
JCC	CROAKER RD	I-64	FENTON MILL RD		"6,773"	2/21 - 2/22	V							"6,494"	2/23 - 3/10	V							-	-	-	-	LOW		-	-	-	-	LOW	
JCC	CROAKER RD	FENTON MILL RD	RIVERVIEW RD		"3,542"		C							"3,352"	2/23 - 2/24	V							-	-	-	-	LOW		-	-	-	-	LOW	
JCC	DEPUE DR	LONGHILL RD (RTE 612)	IRONBOUND RD		"8,336"		C							"9,664"	3/2 - 3/17	V							-	-	-	-	LOW		-	-	-	-	LOW	
JCC	I-64	NEW KENT CL	RTE 30	EB	"25,122"	6/20 - 7/26	V							"23,103"	Wkdy average	V	"22,929"	Wkdy average	V	"23,202"	Wkdy average	V	69	-	0.95	-	LOW	-	70	-	0.93	-	LOW	-
				WB	"24,254"	7/10 - 7/11	V							"25,810"	Wkdy average	V	"22,383"	Wkdy average	V	"22,556"	Wkdy average	V	-	68	-	0.96	-	LOW	-	70	-	0.93	-	LOW
JCC	I-64	RTE 30	CROAKER RD (RTE 607)	EB	"26,658"	6/19 - 6/20	V							"26,140"	Wkdy average	V	"26,023"	Wkdy average	V	"26,387"	Wkdy average	V	69	-	0.95	-	LOW	-	69	-	0.94	-	LOW	-
				WB	"28,548"	6/19 - 6/20	V							"25,635"	Wkdy average	V	"25,480"	Wkdy average	V	"25,674"	Wkdy average	V	-	68	-	0.96	-	LOW	-	70	-	0.94	-	LOW
JCC	I-64	CROAKER RD (RTE 607)	YORK CL	EB	"31,561"	6/19 - 6/20	V							"29,549"	Wkdy average	V	"29,418"	Wkdy average	V	"29,765"	Wkdy average	V	68	-	0.95	-	LOW	-	69	-	0.94	-	LOW	-
				WB	"30,540"	6/19 - 6/20	V							"28,703"	Wkdy average	V	"28,547"	Wkdy average	V	"28,696"	Wkdy average	V	-	67	-	0.96	-	LOW	-	69	-	0.95	-	LOW
JCC	I-64	YORK CL	NEWPORT NEWS CL	EB	"41,795"	7/25 - 7/26	V							"42,495"	6/15 - 6/16	V							66	-	0.99	-	LOW	-	60	-	1.13	-	LOW	-
				WB	"44,702"	6/27 - 6/28	V							"45,390"	6/15 - 6/16	V							-	67	-	0.97	-	LOW	-	66	-	1.00	-	LOW
